,ORF Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SGD ID,Gene Name,Gene Length,Verified ORF?,Chromosome,Start,End,Strand,Description
11,YBL025W,81.89785064,1.084211382,0.172220545,6.269691279,3.62E-10,1.45E-09,S000000121,RRN10,438,Verified,chrII,171481,171918,1,Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I
12,YBL043W,78.62261238,1.544142523,0.246332625,6.234043295,4.55E-10,1.81E-09,S000000139,ECM13,774,Verified,chrII,136688,137461,1,"Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication"
13,YBL048W,29.09039274,1.1223953,0.275173256,4.037866028,5.39E-05,0.000127449,S000000144,RRT1,312,Uncharacterized,chrII,127299,127610,1,Putative protein of unknown function; conserved across S. cerevisiae strains; identified in a screen for mutants with increased levels of rDNA transcription
14,YBL073W,9.395321242,1.646248688,0.444070845,3.499087393,0.000466854,0.00097683,S000000169,YBL073W,312,Dubious,chrII,87646,87957,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the essential gene AAR2/YBL074C"
15,YBL078C,96.4559643,1.720221178,0.171489268,9.956796923,2.36E-23,2.15E-22,S000000174,ATG8,354,Verified,chrII,80378,80731,-1,"Component of autophagosomes and Cvt vesicles; regulator of Atg1p, targets it to autophagosomes; binds the Atg1p-Atg13p complex, triggering its vacuolar degradation; unique ubiquitin-like protein whose conjugation target is lipid phosphatidylethanolamine (PE); Atg8p-PE is anchored to membranes, is involved in phagophore expansion, and may mediate membrane fusion during autophagosome formation; deconjugation of Atg8p-PE is required for efficient autophagosome biogenesis"
16,YBL098W,874.3111132,1.851319485,0.111188015,16.64046745,3.55E-62,1.30E-60,S000000194,BNA4,1383,Verified,chrII,39145,40527,1,Kynurenine 3-monooxygenase; required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease
17,YBL100W-C,21.17539302,1.129300302,0.309175705,3.601776,0.000316051,0.000678787,S000028598,YBL100W-C,120,Uncharacterized,chrII,28427,28546,1,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
18,YBL101C,1122.462854,1.28977085,0.096620769,13.34733057,1.23E-40,2.35E-39,S000000197,ECM21,3354,Verified,chrII,24946,28299,-1,"Protein involved in regulating endocytosis of plasma membrane proteins; identified as a substrate for ubiquitination by Rsp5p and deubiquitination by Ubp2p; promoter contains several Gcn4p binding elements; ECM21 has a paralog, CSR2, that arose from the whole genome duplication"
19,YBL102W,1427.362207,1.61380675,0.155089719,10.40389838,2.38E-25,2.38E-24,S000000198,SFT2,648,Verified,chrII,24098,24745,1,"Tetra-spanning membrane protein found mostly in the late Golgi; non-essential; can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5"
20,YBL103C,515.9216803,1.73697232,0.159214771,10.90162449,1.13E-27,1.31E-26,S000000199,RTG3,1461,Verified,chrII,22076,23536,-1,"bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways; forms a complex with another bHLH/Zip protein, Rtg1p, to activate the pathways; target of Hog1p"
21,YBR018C,34.56811976,1.837581756,0.239513489,7.501596434,6.30E-14,3.43E-13,S000000222,GAL7,1101,Verified,chrII,274427,275527,-1,Galactose-1-phosphate uridyl transferase; synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism; human homolog UGP2 can complement yeast null mutant
22,YBR035C,1333.62792,1.445810622,0.08981972,16.09363641,2.83E-58,9.40E-57,S000000239,PDX3,687,Verified,chrII,306269,306955,-1,Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism
23,YBR043C,1222.983538,1.60429495,0.090650388,17.69464311,4.61E-70,2.15E-68,S000000247,QDR3,2070,Verified,chrII,321876,323945,-1,"Multidrug transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; has a role in polyamine homeostasis; involved in spore wall asembly; sequence similarity to DTR1 and QDR1, and the triple mutant dtr1 qdr1 qdr3 exhibits reduced dityrosine fluorescence relative to the single mutants; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin"
24,YBR045C,94.02067084,1.42628339,0.211894884,6.697665595,2.12E-11,9.49E-11,S000000249,GIP1,1920,Verified,chrII,328173,330092,-1,"Meiosis-specific regulatory subunit of the Glc7p protein phosphatase; regulates spore wall formation and septin organization, required for expression of some late meiotic genes and for normal localization of Glc7p"
25,YBR046C,878.6676644,2.855833116,0.161561579,17.65252612,9.73E-70,4.47E-68,S000000250,ZTA1,1005,Verified,chrII,330507,331511,-1,NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin
26,YBR047W,257.7825519,3.879121425,0.209598589,18.15401986,1.19E-73,6.07E-72,S000000251,FMP23,528,Uncharacterized,chrII,331833,332360,1,"Putative protein of unknown function; proposed to be involved in iron or copper homeostasis; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
27,YBR085C-A,706.854671,1.20071379,0.140996031,8.517769728,1.63E-17,1.10E-16,S000007522,YBR085C-A,258,Verified,chrII,418907,419164,-1,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus; protein abundance increases in response to DNA replication stress
28,YBR104W,501.258068,1.137261908,0.137844709,8.247906205,1.61E-16,1.04E-15,S000000308,YMC2,990,Verified,chrII,449667,450656,1,"Putative mitochondrial inner membrane transporter; proposed role in oleate metabolism and glutamate biosynthesis; member of the mitochondrial carrier (MCF) family; YMC2 has a paralog, YMC1, that arose from the whole genome duplication"
29,YBR107C,271.6596249,1.30877046,0.185050052,7.068764378,1.56E-12,7.64E-12,S000000311,IML3,738,Verified,chrII,453793,454530,-1,Outer kinetochore protein and component of the Ctf19 complex; involved in the establishment of pericentromeric cohesion during mitosis; prevents non-disjunction of sister chromatids during meiosis II; forms a stable complex with Chl4p; required for localization of Sgo1p to pericentric sites during meiosis I; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-L and fission yeast fta1
30,YBR115C,6096.19029,1.720673576,0.083266961,20.66443199,7.24E-95,7.19E-93,S000000319,LYS2,4179,Verified,chrII,469748,473926,-1,"Alpha aminoadipate reductase; catalyzes the reduction of alpha-aminoadipate to alpha-aminoadipate 6-semialdehyde, which is the fifth step in biosynthesis of lysine; activation requires posttranslational phosphopantetheinylation by Lys5p"
31,YBR132C,565.8524503,1.033151256,0.116943113,8.829600195,1.05E-18,7.67E-18,S000000336,AGP2,1791,Verified,chrII,499652,501442,-1,Plasma membrane regulator of polyamine and carnitine transport; has similarity to transporters but lacks transport activity; may act as a sensor that transduces environmental signals; has a positive or negative regulatory effect on transcription of many transporter genes
32,YBR145W,2632.70805,4.221872882,0.131351439,32.06734292,1.26E-225,1.97E-222,S000000349,ADH5,1056,Verified,chrII,533762,534817,1,"Alcohol dehydrogenase isoenzyme V; involved in ethanol production; ADH5 has a paralog, ADH1, that arose from the whole genome duplication"
33,YBR147W,819.0594468,4.584971912,0.315762583,14.36602855,8.45E-47,1.94E-45,S000000351,RTC2,891,Verified,chrII,536575,537465,1,"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; positive regulation by Lys14p suggests that lysine may be the primary substrate; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; RTC2 has a paralog, YPQ1, that arose from the whole genome duplication"
34,YBR167C,82.98331711,1.060546377,0.194340161,5.441194491,5.29E-08,1.72E-07,S000000371,POP7,423,Verified,chrII,571468,571890,-1,"Subunit of RNase MRP, nuclear RNase P and telomerase; forms a soluble heterodimer with Pop6p that binds P3 domain of RNase MRP and RNase P RNAs; RNase MRP cleaves pre-rRNA, nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs, while telomerase replenishes telomeric DNA"
35,YBR177C,2344.014953,1.237870279,0.090074782,13.74273431,5.63E-43,1.17E-41,S000000381,EHT1,1356,Verified,chrII,584807,586162,-1,"Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane; EHT1 has a paralog, EEB1, that arose from the whole genome duplication"
36,YBR183W,225.8726709,1.226144204,0.129105889,9.480829129,2.52E-21,2.08E-20,S000000387,YPC1,951,Verified,chrII,596115,597065,1,"Alkaline ceramidase; also has reverse (CoA-independent) ceramide synthase activity; catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance; YPC1 has a paralog, YDC1, that arose from the whole genome duplication"
37,YBR204C,287.0340069,1.183072917,0.107289234,11.01356051,3.29E-28,3.82E-27,S000000408,LDH1,1128,Verified,chrII,632254,633381,-1,"Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis, regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)"
38,YBR209W,30.35234078,1.498100767,0.280854418,5.243024861,1.58E-07,4.91E-07,S000000413,YBR209W,318,Uncharacterized,chrII,642583,642900,1,Putative protein of unknown function; conserved across S. cerevisiae strains; YBR209W is not an essential gene
39,YBR214W,1114.65128,1.387471576,0.125469332,11.05596904,2.05E-28,2.43E-27,S000000418,SDS24,1584,Verified,chrII,651415,652998,1,"Protein involved in cell separation during budding; one of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; may play an indirect role in fluid-phase endocytosis; protein abundance increases in response to DNA replication stress; SDS24 has a paralog, SDS23, that arose from the whole genome duplication"
40,YBR218C,6301.68416,1.031683241,0.093342131,11.05272929,2.13E-28,2.51E-27,S000000422,PYC2,3543,Verified,chrII,658707,662249,-1,"Pyruvate carboxylase isoform; cytoplasmic enzyme that converts pyruvate to oxaloacetate; differentially regulated than isoform Pyc1p; mutations in the human homolog are associated with lactic acidosis; PYC2 has a paralog, PYC1, that arose from the whole genome duplication"
41,YBR241C,477.5463081,1.390910462,0.150553225,9.236612047,2.54E-20,2.00E-19,S000000445,YBR241C,1467,Uncharacterized,chrII,702589,704055,-1,"Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene; YBR241C has a paralog, VPS73, that arose from the whole genome duplication"
42,YBR248C,1594.961228,1.480485018,0.07203725,20.54860568,7.92E-94,7.62E-92,S000000452,HIS7,1659,Verified,chrII,714807,716465,-1,"Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor"
43,YBR250W,74.56786014,1.675920982,0.220927642,7.51843432,5.54E-14,3.02E-13,S000000454,SPO23,1572,Verified,chrII,719033,720604,1,Protein of unknown function; associates with meiosis-specific protein Spo1p
44,YBR256C,2137.513871,2.933719306,0.183312055,15.99634988,1.35E-57,4.30E-56,S000000460,RIB5,717,Verified,chrII,727386,728102,-1,Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway
45,YBR280C,251.1665932,1.118458997,0.099582968,11.21432257,3.47E-29,4.24E-28,S000000484,SAF1,1914,Verified,chrII,762784,764697,-1,F-Box protein involved in proteasome-dependent degradation of Aah1p; involved in proteasome-dependent degradation of Aah1p during entry of cells into quiescence; interacts with Skp1
46,YBR284W,71.21485456,1.03969399,0.177262548,5.839449017,5.24E-09,1.88E-08,S000000488,YBR284W,2394,Uncharacterized,chrII,771239,773632,1,"Putative metallo-dependent hydrolase superfamily protein; similar to AMP deaminases but lacks key catalytic residues and does not rescue purine nucleotide metabolic defect of quadruple aah1 ade8 amd1 his1 mutant; null mutant exhibits longer telomeres, altered Ty mobility, decreased resistance to rapamycin and wortmannin; induced in response to hydrostatic pressure; not an essential gene; YBR284W has a paralog, YJL070C, that arose from the whole genome duplication"
47,YBR285W,37.18454321,1.167124329,0.235600909,4.903577082,9.41E-07,2.72E-06,S000000489,YBR285W,435,Uncharacterized,chrII,773922,774356,1,Putative protein of unknown function; YBR285W is not an essential gene
48,YCL009C,8506.118735,1.535821472,0.148679125,10.33077612,5.11E-25,5.03E-24,S000000515,ILV6,930,Verified,chrIII,104619,105548,-1,"Regulatory subunit of acetolactate synthase; acetolactate synthase catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit, localizes to mitochondria"
49,YCL026C-A,144.0480517,3.41431188,0.436566415,7.646997094,2.06E-14,1.15E-13,S000000589,FRM2,582,Verified,chrIII,74704,75285,-1,"Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin"
50,YCL030C,10583.1798,2.873452188,0.096437024,29.79307981,4.80E-195,5.00E-192,S000000535,HIS4,2400,Verified,chrIII,65934,68333,-1,"Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase; phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis"
51,YCL048W-A,27.99430139,1.969358251,0.366227978,5.058499967,4.23E-07,1.26E-06,S000087203,YCL048W-A,240,Uncharacterized,chrIII,41488,41727,1,"Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCL048W-A has a paralog, YDR524C-B, that arose from the whole genome duplication"
52,YCL049C,551.7592212,1.068494059,0.101651912,10.51036529,7.74E-26,8.08E-25,S000000554,YCL049C,939,Uncharacterized,chrIII,39786,40724,-1,Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene
53,YCL067C,118.1629643,1.092483068,0.192496689,5.667737213,1.45E-08,4.98E-08,S000000572,HMLALPHA2,633,Verified,chrIII,12386,13018,-1,Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression
54,YCR005C,1494.342364,2.058694114,0.201585386,10.1912385,2.17E-24,2.08E-23,S000000598,CIT2,1383,Verified,chrIII,120946,122328,-1,"Citrate synthase, peroxisomal isozyme involved in glyoxylate cycle; catalyzes condensation of acetyl coenzyme A and oxaloacetate to form citrate; expression is controlled by Rtg1p and Rtg2p transcription factors; SCF-Ucc1 regulates level of Cit2p to maintain citrate homeostasis; oxaloacetate-dependent positive feedback loop inhibits Cit2p ubiquitination; CIT2 has a paralog, CIT1, that arose from the whole genome duplication"
55,YCR007C,81.21327464,1.085441778,0.173457475,6.239463144,4.39E-10,1.75E-09,S000000600,YCR007C,720,Uncharacterized,chrIII,126011,126730,-1,Putative integral membrane protein; member of DUP240 gene family; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCR007C is not an essential gene
56,YCR010C,45.25703252,1.475691981,0.226323623,6.43544588,1.23E-10,5.13E-10,S000000603,ADY2,852,Verified,chrIII,132273,133124,-1,"Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication"
57,YCR023C,1409.034063,1.624623006,0.168683384,9.629418807,6.01E-22,5.14E-21,S000000617,YCR023C,1836,Verified,chrIII,158538,160373,-1,Vacuolar membrane protein of unknown function; member of the multidrug resistance family; YCR023C is not an essential gene
58,YCR050C,68.77957067,1.10930031,0.196234084,5.630232778,1.80E-08,6.13E-08,S000000646,YCR050C,309,Uncharacterized,chrIII,213464,213772,-1,Non-essential protein of unknown function; deletion mutant is synthetically sick or lethal with alpha-synuclein
59,YCR060W,315.1689081,1.279074574,0.171625859,7.449158676,9.39E-14,5.03E-13,S000000656,TAH1,336,Verified,chrIII,224399,224734,1,Component of conserved R2TP complex (Rvb1-Rvb2-Tah1-Pih1); R2TP complex interacts with Hsp90 (Hsp82p and Hsc82p) to mediate assembly of large protein complexes such as box C/D snoRNPs and RNA polymerase II; contains a single TPR domain with at least two TPR motifs; plays a role in determining prion variants
60,YCR061W,1032.88217,2.025483461,0.115878081,17.46784862,2.52E-68,1.07E-66,S000000657,YCR061W,1896,Uncharacterized,chrIII,225563,227458,1,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; induced by treatment with 8-methoxypsoralen and UVA irradiation
61,YCR091W,237.4194174,1.188603315,0.106831322,11.1086736,1.14E-28,1.36E-27,S000000687,KIN82,2163,Verified,chrIII,274404,276566,1,"Putative serine/threonine protein kinase; implicated in the regulation of phospholipid asymmetry through the activation of phospholipid translocases (flippases); involved in the phosphorylation of upstream inhibitory kinase Ypk1p along with Fpk1p; has a redundant role in the cellular response to mating pheromone; KIN82 has a paralog, FPK1, that arose from the whole genome duplication"
62,YCR099C,57.31398009,1.75647983,0.248484529,6.988077336,2.79E-12,1.34E-11,S000000696,YCR099C,468,Uncharacterized,chrIII,300832,301299,-1,Putative protein of unknown function
63,YCR100C,103.156888,1.650027221,0.230303675,7.13003368,1.00E-12,4.96E-12,S000000697,EMA35,951,Uncharacterized,chrIII,301271,302221,-1,Putative protein of unknown function
64,YCR101C,62.51705031,1.525785338,0.236000613,6.413031958,1.43E-10,5.91E-10,S000000698,YCR101C,549,Uncharacterized,chrIII,302482,303030,-1,Putative protein of unknown function; localizes to the membrane fraction; YCR101C is not an essential gene
65,YCR106W,417.8825363,1.089429171,0.143871717,7.569371788,3.75E-14,2.07E-13,S000000703,RDS1,2499,Verified,chrIII,310958,313456,1,Putative zinc cluster transcription factor; involved in conferring resistance to cycloheximide
66,YCR107W,263.6014768,1.104459493,0.146250706,7.547454805,4.44E-14,2.44E-13,S000000704,AAD3,1092,Verified,chrIII,313890,314981,1,"Putative aryl-alcohol dehydrogenase; similar to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role; AAD3 has a paralog, AAD15, that arose from a segmental duplication; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family"
67,YDL020C,1011.013324,1.705460207,0.086783687,19.64183043,6.79E-86,4.94E-84,S000002178,RPN4,1596,Verified,chrIV,415113,416708,-1,Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress
68,YDL021W,241.5447727,1.238056967,0.19473239,6.359687969,2.02E-10,8.22E-10,S000002179,GPM2,936,Verified,chrIV,413953,414888,1,"Nonfunctional homolog of Gpm1p phosphoglycerate mutase; if functional, would convert 3-phosphoglycerate to 2-phosphoglycerate in glycolysis; GPM2 has a paralog, GPM3, that arose from the whole genome duplication"
69,YDL024C,79.23721464,1.474782783,0.212324865,6.902836142,5.10E-12,2.40E-11,S000002182,DIA3,1407,Verified,chrIV,408451,409857,-1,Protein of unknown function; involved in invasive and pseudohyphal growth
70,YDL025C,535.2786098,1.150191119,0.112430511,10.22716524,1.50E-24,1.44E-23,S000002183,RTK1,1863,Verified,chrIV,405344,407206,-1,"Putative protein kinase, potentially phosphorylated by Cdc28p; interacts with ribosome biogenesis factors, Cka2, Gus1 and Arc1; protein abundance increases in response to DNA replication stress"
71,YDL054C,1001.67058,1.649193968,0.157471621,10.47223901,1.16E-25,1.20E-24,S000002212,MCH1,1461,Verified,chrIV,359825,361285,-1,Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport
72,YDL066W,4300.02603,2.664696153,0.165252764,16.1191433,1.87E-58,6.26E-57,S000002224,IDP1,1287,Verified,chrIV,334835,336121,1,Mitochondrial NADP-specific isocitrate dehydrogenase; catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes
73,YDL071C,20.4694865,1.080413849,0.325768275,3.285073046,0.001019559,0.002029381,S000002229,YDL071C,375,Dubious,chrIV,330666,331040,-1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF BDF2/YDL070W"
74,YDL085W,101.9497779,1.879530642,0.212960832,8.755798542,2.03E-18,1.45E-17,S000002243,NDE2,1638,Verified,chrIV,303211,304848,1,"Mitochondrial external NADH dehydrogenase; catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain; NDE2 has a paralog, NDE1, that arose from the whole genome duplication"
75,YDL110C,292.8538596,1.04574684,0.129097222,8.096581617,5.65E-16,3.54E-15,S000002268,TMA17,453,Verified,chrIV,264512,264964,-1,ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion
76,YDL130W-A,292.6454918,1.287349921,0.140455189,9.159321127,5.22E-20,4.05E-19,S000007232,STF1,261,Verified,chrIV,229171,229431,1,"Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p act as stabilizing factors that enhance inhibitory action of the Inh1p protein; protein abundance increases in response to DNA replication stress; STF1 has a paralog, INH1, that arose from the whole genome duplication"
77,YDL131W,3028.04532,1.576136535,0.070509951,22.35175097,1.16E-110,2.20E-108,S000002289,LYS21,1323,Verified,chrIV,227393,228715,1,"Homocitrate synthase isozyme; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS21 has a paralog, LYS20, that arose from the whole genome duplication"
78,YDL142C,258.097868,1.023536514,0.143289677,7.13874812,9.42E-13,4.67E-12,S000002301,CRD1,852,Verified,chrIV,201719,202570,-1,"Cardiolipin synthase; produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function and for correct integration of membrane-multispanning proteins into the mitochondrial outer membrane; required to maintain tubular mitochondrial morphology and functions in mitochondrial fusion; also required for normal vacuolar ion homeostasis"
79,YDL169C,42.46454866,1.43761939,0.2350308,6.037580838,1.56E-09,5.96E-09,S000002328,UGX2,672,Verified,chrIV,158064,158735,-1,Protein of unknown function; transcript accumulates in response to any combination of stress conditions
80,YDL170W,717.0553157,2.068006355,0.147656694,13.99501937,1.67E-44,3.60E-43,S000002329,UGA3,1587,Verified,chrIV,156318,157904,1,"Transcriptional activator for GABA-dependent induction of GABA genes; binds to DNA elements found in the promoters of target genes and increases their expression in the presence of GABA (gamma-aminobutyrate); zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type; localized to the nucleus; examples of GABA genes include UGA1, UGA2, and UGA4"
81,YDL182W,4854.883136,2.633555002,0.113700313,23.15795475,1.21E-118,2.44E-116,S000002341,LYS20,1287,Verified,chrIV,133437,134723,1,"Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication"
82,YDL183C,129.7875909,1.456867396,0.175668911,8.266495373,1.38E-16,8.93E-16,S000002342,YDL183C,963,Verified,chrIV,130871,131833,-1,Protein that may form an active mitochondrial KHE system; mitochondrial inner-membrane protein; non-essential gene; KHE system stands for K+/H+ exchanger system
83,YDL196W,13.23045259,1.423264776,0.375884055,3.659971522,0.000252243,0.000549486,S000002355,YDL196W,330,Dubious,chrIV,106741,107070,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; open reading frame is located in promoter region of essential gene SEC31"
