,ORF Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SGD ID,Gene Name,Gene Length,Verified ORF?,Chromosome,Start,End,Strand,Description
15,YBL028C,154.6665822,-1.950413741,0.202346073,-9.608370149,7.37E-22,6.28E-21,S000000124,YBL028C,321,Verified,chrII,167518,167838,-1,Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
16,YBL030C,4019.153578,-1.30215659,0.144490193,-9.012274001,2.02E-19,1.52E-18,S000000126,PET9,957,Verified,chrII,163041,163997,-1,"Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant"
17,YBL035C,274.1115467,-1.022731076,0.095535238,-10.70003978,1.02E-26,1.12E-25,S000000131,POL12,2118,Verified,chrII,151493,153610,-1,B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation
18,YBL039C,1431.922201,-3.518184779,0.187137949,-18.78004405,1.10E-78,6.31E-77,S000000135,URA7,1740,Verified,chrII,143989,145728,-1,"Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has a paralog, URA8, that arose from the whole genome duplication"
19,YBL042C,733.1027327,-3.754235968,0.114628176,-32.62714318,1.69E-233,3.52E-230,S000000138,FUI1,1920,Verified,chrII,138341,140260,-1,"High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress"
20,YBL054W,323.7788458,-3.330503144,0.134093313,-24.49989798,1.48E-132,4.21E-130,S000000150,TOD6,1578,Verified,chrII,117589,119166,1,PAC motif binding protein involved in rRNA and ribosome biogenesis; subunit of the RPD3L histone deacetylase complex; Myb-like HTH transcription factor; hypophosphorylated by rapamycin treatment in a Sch9p-dependent manner; activated in stochastic pulses of nuclear localization
21,YBL081W,537.6202616,-1.593992203,0.122762096,-12.97948806,1.60E-38,2.80E-37,S000000177,YBL081W,1107,Uncharacterized,chrII,71866,72972,1,Non-essential protein of unknown function; null mutation results in a decrease in plasma membrane electron transport
22,YBR021W,310.3416817,-2.616882642,0.223978293,-11.65791487,2.09E-31,2.81E-30,S000000225,FUR4,1902,Verified,chrII,281443,283344,1,Plasma membrane localized uracil permease; expression is tightly regulated by uracil levels and environmental cues; conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation
23,YBR029C,1459.161557,-1.081793849,0.135915722,-7.960293493,1.72E-15,1.04E-14,S000000233,CDS1,1374,Verified,chrII,296369,297742,-1,"Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids; human homolog CDS1 can complement yeast cds1 null mutant"
24,YBR034C,938.3760627,-2.133912652,0.133748558,-15.94764439,2.96E-57,9.34E-56,S000000238,HMT1,1047,Verified,chrII,304930,305976,-1,"Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p, ribosomal protein Rps2p, and histones H3 and H4; interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region"
25,YBR061C,246.0680192,-1.256656972,0.119845466,-10.47769382,1.09E-25,1.14E-24,S000000265,TRM7,933,Verified,chrII,364787,365719,-1,"2'-O-ribose methyltransferase; methylates the 2'-O-ribose of tRNA-Phe, tRNA-Trp, and tRNA-Leu at positions C32 and N34 of tRNA anticodon loop; crucial biological role likely modification of tRNA-Phe; interacts with Trm732p and Rtt10p in 2'-O-methylation of C32 and N34 substrate tRNAs, respectively; yeast null mutant can be functionally complemented by human FTSJ1, mutations in which have been implicated in nonsyndromic X-linked intellectual disability (NSXLID)"
26,YBR069C,2157.809579,-1.275401915,0.142650943,-8.940168321,3.89E-19,2.91E-18,S000000273,TAT1,1860,Verified,chrII,376574,378433,-1,"Amino acid transporter for valine, leucine, isoleucine, and tyrosine; low-affinity tryptophan and histidine transporter; overexpression confers FK506 and FTY720 resistance; protein abundance increases in response to DNA replication stress"
27,YBR079C,2402.440078,-1.344820278,0.06472635,-20.77591801,7.15E-96,7.57E-94,S000000283,RPG1,2895,Verified,chrII,395383,398277,-1,eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough
28,YBR084W,1791.548699,-1.411085425,0.080639057,-17.49721605,1.50E-68,6.58E-67,S000000288,MIS1,2928,Verified,chrII,411054,413981,1,"Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
29,YBR085W,110.6083458,-1.062295103,0.180855001,-5.866139484,4.46E-09,1.61E-08,S000000289,AAC3,924,Verified,chrII,415983,416906,1,"Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; expressed under anaerobic conditions; similar to Aac1p; has roles in maintenance of viability and in respiration; AAC3 has a paralog, PET9, that arose from the whole genome duplication"
30,YBR088C,357.1633524,-2.200838712,0.198848167,-11.05182902,2.15E-28,2.53E-27,S000000292,POL30,777,Verified,chrII,424990,425766,-1,Proliferating cell nuclear antigen (PCNA); functions as the sliding replication clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair; PCNA ubiquitination at K164 plays a crucial role during Okazaki fragment processing
31,YBR089W,61.08566199,-2.376523486,0.230879711,-10.12042925,4.48E-24,4.23E-23,S000000293,YBR089W,600,Dubious,chrII,425183,425782,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps the verified gene POL30"
32,YBR092C,2124.483811,-2.956206536,0.19503543,-15.15481448,7.04E-52,1.88E-50,S000000296,PHO3,1404,Verified,chrII,427698,429101,-1,"Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin"
33,YBR093C,2593.487351,-2.685296474,0.159621679,-16.81724174,1.82E-63,6.91E-62,S000000297,PHO5,1404,Verified,chrII,429548,430951,-1,Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2
34,YBR142W,476.6734558,-2.414023694,0.126340556,-19.07006168,4.48E-81,2.89E-79,S000000346,MAK5,2322,Verified,chrII,528317,530638,1,Essential nucleolar protein; putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits
35,YBR155W,224.1394098,-1.808110948,0.169181976,-10.66923536,1.42E-26,1.54E-25,S000000359,CNS1,1158,Verified,chrII,549771,550928,1,"TPR-containing co-chaperone; binds both Hsp82p (Hsp90) and Ssa1p (Hsp70); stimulates ATPase activity of Ssa1p; ts mutants reduce Hsp82p function, overexpression suppresses phenotypes of HSP82 ts allele and cpr7 deletion; human homolog TTC4 complements yeast cns1 mutant"
36,YBR172C,785.1728175,-1.067493387,0.111480571,-9.575469408,1.01E-21,8.56E-21,S000000376,SMY2,2223,Verified,chrII,579150,581372,-1,"GYF domain protein; involved in COPII vesicle formation; interacts with the Sec23p/Sec24p subcomplex; overexpression suppresses the temperature sensitivity of a myo2 mutant; similar to S. pombe Mpd2; SMY2 has a paralog, SYH1, that arose from the whole genome duplication"
37,YBR191W-A,26.78275254,-1.211941858,0.288511668,-4.168709339,3.06E-05,7.44E-05,S000007594,YBR191W-A,75,Dubious,chrII,607149,607223,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
38,YBR213W,70.49345103,-1.118243614,0.223188168,-5.006425108,5.55E-07,1.64E-06,S000000417,MET8,825,Verified,chrII,650368,651192,1,"Bifunctional dehydrogenase and ferrochelatase; involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis"
39,YBR238C,620.0271967,-2.78146896,0.190719534,-14.56580253,4.64E-48,1.11E-46,S000000442,YBR238C,2196,Verified,chrII,695107,697302,-1,"Mitochondrial membrane protein; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span; YBR238C has a paralog, RMD9, that arose from the whole genome duplication"
40,YBR242W,199.7468397,-1.003423015,0.11642221,-8.613638474,7.08E-18,4.89E-17,S000000446,YBR242W,717,Uncharacterized,chrII,704670,705386,1,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene; YBR242W has a paralog, YGL101W, that arose from the whole genome duplication"
41,YBR247C,411.5037934,-2.703758066,0.161498274,-16.69655521,1.39E-62,5.17E-61,S000000451,ENP1,1452,Verified,chrII,713004,714455,-1,Protein associated with U3 and U14 snoRNAs; required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus; human BYSL functionally complements the heat sensitivity of an enp1 ts mutant
42,YBR267W,306.0500697,-2.225494039,0.126222663,-17.57408276,3.89E-69,1.76E-67,S000000471,REI1,1182,Verified,chrII,739841,741022,1,"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network"
43,YBR271W,189.9683906,-1.617646275,0.13737685,-11.75318963,6.80E-32,9.31E-31,S000000475,EFM2,1260,Verified,chrII,744852,746111,1,S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which dimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 613 and methylates EF3 (Yef3p) at lysine 187; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; involved in regulation of translational termination; predicted involvement in ribosome biogenesis
44,YBR296C,575.3389869,-3.002868732,0.140975433,-21.1843762,1.33E-99,1.63E-97,S000000500,PHO89,1725,Verified,chrII,796798,798522,-1,Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification
45,YCL014W,622.6150988,-1.0468902,0.10257969,-10.20434265,1.90E-24,1.82E-23,S000000520,BUD3,4911,Verified,chrIII,96281,101191,1,"Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1, accounting for the first stage of biphasic activation, with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding, resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"
46,YCL036W,165.1188519,-3.815483682,0.187582105,-19.49388881,1.24E-84,8.79E-83,S000000541,GFD2,1701,Verified,chrIII,59026,60726,1,"Protein of unknown function; identified as a high-copy suppressor of a dbp5 mutation; GFD2 has a paralog, YDR514C, that arose from the whole genome duplication"
47,YCL037C,523.6972829,-1.894789623,0.113647728,-16.65955803,2.58E-62,9.54E-61,S000000542,SRO9,1305,Verified,chrIII,57374,58678,-1,"Cytoplasmic RNA-binding protein; shuttles between nucleus and cytoplasm and is exported from the nucleus in an mRNA export-dependent manner; associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif; SRO9 has a paralog, SLF1, that arose from the whole genome duplication"
48,YCL054W,641.2839846,-2.751375747,0.148263218,-18.51990993,1.43E-76,7.82E-75,S000000559,SPB1,2526,Verified,chrIII,31449,33974,1,"AdoMet-dependent methyltransferase; involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants"
49,YCL058W-A,28.3228413,-2.264130868,0.407333402,-5.387499669,7.14E-08,2.30E-07,S000028518,ADF1,342,Verified,chrIII,23584,23925,1,Transcriptional repressor encoded by the FYV5 antisense strand; negatively regulates transcription of FYV5 by binding to the promoter on the sense strand
50,YCL059C,317.8368745,-2.089686961,0.152768649,-13.65337649,1.93E-42,3.89E-41,S000000564,KRR1,951,Verified,chrIII,22429,23379,-1,Nucleolar protein required for rRNA synthesis and ribosomal assembly; required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit; essential gene
51,YCL061C,298.9319055,-1.103019754,0.117266755,-9.402824336,5.31E-21,4.29E-20,S000000566,MRC1,3291,Verified,chrIII,18816,22106,-1,"S-phase checkpoint protein required for DNA replication; couples DNA helicase and polymerase; interacts with and stabilizes Pol2p at stalled replication forks during stress, where it forms a pausing complex with Tof1p and is phosphorylated by Mec1p; defines a novel S-phase checkpoint with Hog1p that coordinates DNA replication and transcription upon osmostress; protects uncapped telomeres; Dia2p-dependent degradation mediates checkpoint recovery; mammalian claspin homolog"
52,YCR016W,191.2797901,-1.305041475,0.202242529,-6.451564926,1.11E-10,4.65E-10,S000000609,YCR016W,873,Uncharacterized,chrIII,143634,144506,1,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus and nucleus; predicted to be involved in ribosome biogenesis
53,YCR034W,1826.149486,-1.393716535,0.141635292,-9.84011389,7.56E-23,6.80E-22,S000000630,ELO2,1044,Verified,chrIII,190592,191635,1,"Fatty acid elongase, involved in sphingolipid biosynthesis; acts on fatty acids of up to 24 carbons in length; mutations have regulatory effects on 1,3-beta-glucan synthase, vacuolar ATPase, and the secretory pathway; ELO2 has a paralog, ELO1, that arose from the whole genome duplication; lethality of the elo2 elo3 double null mutation is functionally complemented by human ELOVL1 and weakly complemented by human ELOVL3 or ELOV7"
54,YCR047C,317.7282075,-1.342892373,0.107447353,-12.48971122,8.50E-36,1.35E-34,S000000643,BUD23,828,Verified,chrIII,210718,211545,-1,Methyltransferase that methylates residue G1575 of 18S rRNA; required for rRNA processing and nuclear export of 40S ribosomal subunits independently of methylation activity; diploid mutant displays random budding pattern; functional homolog of human WBSCR22
55,YCR057C,898.6504284,-2.642018801,0.0948224,-27.82399977,2.22E-170,1.74E-167,S000000653,PWP2,2772,Verified,chrIII,220457,223228,-1,"Conserved 90S pre-ribosomal component; essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis"
56,YCR072C,407.364626,-2.83852546,0.134663559,-20.98637323,8.74E-98,1.01E-95,S000000668,RSA4,1548,Verified,chrIII,240805,242352,-1,"Ribosomal large subunit (60S) assembly factor; association of the N-terminal ubiquitin-like (UBL) domain of this preribosomal factor with the MIDAS domain in the Rea1p tail, promoted by the GTPase Nog2p, is required for the ATP-dependent dissociation of preribosomal factors including the Rix1p subcomplex, Rea1p, Nog2p and Rsa1p itself prior to nuclear export of pre-60S particles; contains WD-repeats and a UBL domain; localizes to the nucleolus "
57,YCR087C-A,78.39041335,-2.038729183,0.213586741,-9.452484525,3.31E-21,2.70E-20,S000007223,YCR087C-A,462,Uncharacterized,chrIII,264006,264467,-1,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene
58,YCR087W,41.86011435,-2.164774536,0.243994494,-8.643053573,5.47E-18,3.80E-17,S000000683,YCR087W,516,Dubious,chrIII,263976,264491,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized gene YCR087C-A; YCR087W is not an essential gene"
59,YDL003W,186.1299887,-1.868010327,0.140355537,-13.2734174,3.30E-40,6.23E-39,S000002161,MCD1,1701,Verified,chrIV,444683,446383,1,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
60,YDL014W,3888.542035,-2.170914858,0.171892235,-12.63022988,1.44E-36,2.33E-35,S000002172,NOP1,984,Verified,chrIV,427364,428347,1,"Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus; component of the small subunit processome complex, which is required for processing of pre-18S rRNA; ortholog of mammalian fibrillarin; inviability of the null mutant is functionally complemented by human FBL"
61,YDL031W,724.7704332,-2.237010232,0.112047176,-19.94625899,1.62E-88,1.33E-86,S000002189,DBP10,2988,Verified,chrIV,394217,397204,1,Putative ATP-dependent RNA helicase of the DEAD-box protein family; constituent of 66S pre-ribosomal particles; essential protein involved in ribosome biogenesis
62,YDL037C,157.8900825,-2.981246608,0.231114748,-12.76197271,2.67E-37,4.43E-36,S000002195,BSC1,987,Verified,chrIV,384601,385587,-1,"Protein of unconfirmed function; similar to cell surface flocculin Flo11p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the gene IMI1"
63,YDL039C,334.2558024,-2.905453408,0.188106292,-15.38659564,2.01E-53,5.80E-52,S000002197,PRM7,2097,Verified,chrIV,381985,384081,-1,"Pheromone-regulated protein; predicted to have one transmembrane segment; promoter contains Gcn4p binding elements; in W303 strain one continuous open reading frame comprising of YDL037C, the intergenic region and YDL039C encodes the IMI1"
64,YDL042C,219.8843365,-1.33038296,0.103255286,-12.8697863,6.66E-38,1.13E-36,S000002200,SIR2,1689,Verified,chrIV,376757,378445,-1,"Conserved NAD+ dependent histone deacetylase of the Sirtuin family; deacetylation targets are primarily nuclear proteins; required for telomere hypercluster formation in quiescent yeast cells; involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and rDNA; negatively regulates initiation of DNA replication; functions as regulator of autophagy like mammalian homolog SIRT1, and also of mitophagy"
65,YDL048C,658.2634761,-1.738646188,0.138010383,-12.5927629,2.31E-36,3.72E-35,S000002206,STP4,1473,Verified,chrIV,366739,368211,-1,"Protein containing a Kruppel-type zinc-finger domain; similar to Stp1p, Stp2p; predicted transcription factor; relative distribution to the nucleus increases upon DNA replication stress; STP4 has a paralog, STP3, that arose from the whole genome duplication"
66,YDL050C,37.91180141,-1.477596177,0.249150793,-5.875560824,4.21E-09,1.53E-08,S000002208,YDL050C,372,Dubious,chrIV,364446,364817,-1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
67,YDL051W,545.306147,-1.831726557,0.140417231,-13.03733989,7.50E-39,1.34E-37,S000002209,LHP1,828,Verified,chrIV,363952,364779,1,RNA binding protein required for maturation of tRNA and U6 snRNA; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen
68,YDL055C,10560.48224,-1.397158984,0.174510026,-8.004760878,1.20E-15,7.34E-15,S000002213,PSA1,1086,Verified,chrIV,355674,356759,-1,GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase); synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure
69,YDL060W,566.6045688,-2.31128359,0.122002759,-18.91962466,7.86E-80,4.87E-78,S000002218,TSR1,2367,Verified,chrIV,341619,343985,1,Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p; relocalizes from nucleus to cytoplasm upon DNA replication stress
70,YDL062W,45.56506149,-2.749659507,0.262479113,-9.892732124,4.48E-23,4.06E-22,S000002220,YDL062W,426,Dubious,chrIV,339857,340282,1,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps uncharacterized ORF YDL063C; YDL062W is not essential"
71,YDL063C,382.7062151,-3.285818093,0.138464375,-23.53240918,1.90E-122,4.57E-120,S000002221,SYO1,1863,Verified,chrIV,338272,340134,-1,Transport adaptor or symportin; facilitates synchronized nuclear coimport of the two 5S-rRNA binding proteins Rpl5p and Rpl11p; binds to nascent Rpl5p during translation; required for biogenesis of the large ribosomal subunit; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
72,YDL102W,444.1088917,-1.185699585,0.081633697,-14.51904477,9.18E-48,2.18E-46,S000002260,POL3,3294,Verified,chrIV,276872,280165,1,"Catalytic subunit of DNA polymerase delta; required for chromosomal DNA replication during mitosis and meiosis, intragenic recombination, repair of double strand DNA breaks, and DNA replication during nucleotide excision repair (NER)"
73,YDL105W,70.10205137,-1.036479139,0.16675993,-6.20173023,5.58E-10,2.21E-09,S000002263,NSE4,1209,Verified,chrIV,272389,273597,1,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
74,YDL111C,477.7156817,-1.009264159,0.090697152,-11.12549869,9.43E-29,1.13E-27,S000002269,RRP42,798,Verified,chrIV,263313,264110,-1,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp42p (EXOSC7)
75,YDL112W,992.2132904,-1.250870299,0.098674768,-12.67529613,8.11E-37,1.33E-35,S000002270,TRM3,4311,Verified,chrIV,258915,263225,1,2'-O-ribose methyltransferase; catalyzes the ribose methylation of the guanosine nucleotide at position 18 of tRNAs
